BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
368	-5.44708	-5.44279	0.00159572
369	-5.4752	-5.44288	0.00159381
370	-5.45726	-5.44291	0.00158998
371	-5.42634	-5.44287	0.00158632
372	-5.48608	-5.44299	0.0015863
373	-5.42591	-5.44294	0.00158271
374	-5.47896	-5.44304	0.00158141
375	-5.44271	-5.44304	0.00157719
376	-5.41166	-5.44295	0.0015752
377	-5.43469	-5.44293	0.00157117
378	-5.43341	-5.4429	0.00156722
379	-5.45043	-5.44292	0.00156321
380	-5.40917	-5.44284	0.00156162
381	-5.44214	-5.44283	0.00155752
382	-5.40741	-5.44274	0.0015562
383	-5.46265	-5.44279	0.00155301
384	-5.44431	-5.4428	0.00154897
385	-5.4755	-5.44288	0.00154727
386	-5.43909	-5.44287	0.0015433
387	-5.42931	-5.44284	0.00153971
388	-5.35831	-5.44262	0.00155107
389	-5.47638	-5.44271	0.00154951
390	-5.4805	-5.4428	0.00154857
391	-5.4043	-5.4427	0.00154773
392	-5.44237	-5.4427	0.00154379
393	-5.42128	-5.44265	0.00154082
394	-5.39271	-5.44252	0.00154211
395	-5.42539	-5.44248	0.00153882
396	-5.46453	-5.44253	0.00153594
397	-5.38657	-5.44239	0.00153853
398	-5.40578	-5.4423	0.00153741
399	-5.41708	-5.44224	0.00153486
400	-5.45266	-5.44226	0.00153124
401	-5.46662	-5.44233	0.00152863
402	-5.45751	-5.44236	0.00152529
403	-5.46563	-5.44242	0.0015226
404	-5.45163	-5.44244	0.001519
405	-5.42906	-5.44241	0.00151561
406	-5.45325	-5.44244	0.00151211
407	-5.42229	-5.44239	0.0015092
408	-5.43818	-5.44238	0.00150554
409	-5.43266	-5.44235	0.00150205
410	-5.45633	-5.44239	0.00149877
411	-5.48709	-5.4425	0.00149907
412	-5.42029	-5.44244	0.0014964
413	-5.498	-5.44258	0.00149881
414	-5.43455	-5.44256	0.00149531
415	-5.45379	-5.44258	0.00149195
416	-5.4351	-5.44257	0.00148848
417	-5.47261	-5.44264	0.00148665
418	-5.4614	-5.44268	0.00148377
419	-5.4258	-5.44264	0.00148078
420	-5.41811	-5.44259	0.0014784
421	-5.4932	-5.44271	0.00147977
422	-5.46289	-5.44275	0.00147704
423	-5.44258	-5.44275	0.00147354
424	-5.4438	-5.44276	0.00147007
425	-5.4305	-5.44273	0.0014669
426	-5.48048	-5.44282	0.00146613
427	-5.46938	-5.44288	0.00146401
428	-5.42077	-5.44283	0.0014615
429	-5.41946	-5.44277	0.00145911
430	-5.43203	-5.44275	0.00145593
431	-5.428	-5.44271	0.00145295
432	-5.45946	-5.44275	0.00145011
433	-5.43203	-5.44273	0.00144697
434	-5.46957	-5.44279	0.00144496
435	-5.44148	-5.44278	0.00144164
436	-5.41952	-5.44273	0.00143932
437	-5.48504	-5.44283	0.00143928
438	-5.39676	-5.44272	0.00143983
439	-5.46806	-5.44278	0.00143771
440	-5.4128	-5.44271	0.00143605
441	-5.43454	-5.44269	0.00143292
442	-5.43886	-5.44269	0.0014297
443	-5.41901	-5.44263	0.00142747
444	-5.44514	-5.44264	0.00142427
445	-5.39008	-5.44252	0.00142595
446	-5.43494	-5.4425	0.00142286
447	-5.4052	-5.44242	0.00142212
448	-5.4956	-5.44254	0.00142389
449	-5.46071	-5.44258	0.0014213
450	-5.4539	-5.4426	0.00141836
451	-5.40899	-5.44253	0.00141717
452	-5.47403	-5.4426	0.00141575
453	-5.40723	-5.44252	0.00141478
454	-5.39746	-5.44242	0.00141514
455	-5.42303	-5.44238	0.00141267
456	-5.47282	-5.44245	0.00141115
457	-5.4337	-5.44243	0.00140819
458	-5.4239	-5.44239	0.00140569
459	-5.44732	-5.4424	0.00140267
460	-5.4387	-5.44239	0.00139965
461	-5.43544	-5.44237	0.00139669
462	-5.47835	-5.44245	0.00139584
463	-5.45033	-5.44247	0.00139293
464	-5.41299	-5.4424	0.00139137
465	-5.41769	-5.44235	0.0013894
466	-5.42168	-5.44231	0.00138712
467	-5.44949	-5.44232	0.00138424
468	-5.44618	-5.44233	0.0013813
469	-5.43875	-5.44232	0.00137838
470	-5.4563	-5.44235	0.00137577
471	-5.48246	-5.44244	0.00137548
472	-5.41089	-5.44237	0.00137419
473	-5.42891	-5.44234	0.00137158
474	-5.41206	-5.44228	0.00137017
475	-5.39693	-5.44218	0.00137061
476	-5.48195	-5.44227	0.00137027
477	-5.47418	-5.44233	0.00136903
478	-5.49134	-5.44244	0.00137
479	-5.37354	-5.44229	0.00137467
480	-5.44962	-5.44231	0.00137189
481	-5.45532	-5.44234	0.00136931
482	-5.46799	-5.44239	0.0013675
483	-5.43058	-5.44236	0.00136489
484	-5.46857	-5.44242	0.00136314
485	-5.39615	-5.44232	0.00136367
486	-5.46573	-5.44237	0.00136171
487	-5.43083	-5.44235	0.00135912
488	-5.46099	-5.44239	0.00135687
489	-5.44047	-5.44238	0.0013541
