BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
661	1.67308	1.66432	0.00106091
662	1.65541	1.66431	0.0010594
663	1.67955	1.66433	0.00105805
664	1.67629	1.66435	0.00105661
665	1.66973	1.66436	0.00105505
666	1.70648	1.66442	0.00105536
667	1.65262	1.6644	0.00105393
668	1.70199	1.66446	0.00105385
669	1.67268	1.66447	0.00105235
670	1.6801	1.66449	0.00105103
671	1.69297	1.66454	0.00105032
672	1.61663	1.66446	0.00105118
673	1.66164	1.66446	0.00104962
674	1.6917	1.6645	0.00104885
675	1.68115	1.66453	0.00104758
676	1.66032	1.66452	0.00104605
677	1.66672	1.66452	0.00104451
678	1.65675	1.66451	0.00104303
679	1.59887	1.66441	0.00104597
680	1.66052	1.66441	0.00104444
681	1.66657	1.66441	0.00104292
682	1.70125	1.66447	0.00104278
683	1.64789	1.66444	0.00104154
684	1.70723	1.6645	0.00104189
685	1.70207	1.66456	0.00104182
686	1.71248	1.66463	0.00104264
687	1.67567	1.66464	0.00104124
688	1.66824	1.66465	0.00103974
689	1.59001	1.66454	0.00104386
690	1.64155	1.66451	0.00104288
691	1.65309	1.66449	0.0010415
692	1.68747	1.66452	0.00104053
693	1.65159	1.66451	0.00103919
694	1.67862	1.66453	0.00103789
695	1.68458	1.66456	0.0010368
696	1.66116	1.66455	0.00103532
697	1.63972	1.66451	0.00103445
698	1.69769	1.66456	0.00103406
699	1.67411	1.66458	0.00103267
700	1.6821	1.6646	0.0010315
701	1.63798	1.66456	0.00103073
702	1.65078	1.66454	0.00102944
703	1.63694	1.6645	0.00102873
704	1.68994	1.66454	0.0010279
705	1.61839	1.66447	0.00102853
706	1.6772	1.66449	0.00102723
707	1.65376	1.66448	0.00102589
708	1.67904	1.6645	0.00102464
709	1.66291	1.6645	0.0010232
710	1.67571	1.66451	0.00102188
711	1.66514	1.66451	0.00102045
712	1.60548	1.66443	0.00102238
713	1.65804	1.66442	0.00102098
714	1.68075	1.66444	0.00101981
715	1.66415	1.66444	0.00101838
716	1.67731	1.66446	0.00101712
717	1.65422	1.66445	0.0010158
718	1.6023	1.66436	0.00101806
719	1.65958	1.66435	0.00101667
720	1.6532	1.66434	0.00101538
721	1.63421	1.6643	0.00101483
722	1.65506	1.66428	0.0010135
723	1.63279	1.66424	0.00101304
724	1.65263	1.66422	0.00101176
725	1.62427	1.66417	0.00101187
726	1.68807	1.6642	0.00101101
727	1.61908	1.66414	0.00101152
728	1.69791	1.66419	0.0010112
729	1.61724	1.66412	0.00101186
730	1.67412	1.66414	0.00101056
731	1.66561	1.66414	0.00100918
732	1.69353	1.66418	0.0010086
733	1.67754	1.6642	0.00100739
734	1.64861	1.66417	0.00100624
735	1.6774	1.66419	0.00100504
736	1.68189	1.66422	0.00100396
737	1.66972	1.66422	0.00100262
738	1.64931	1.6642	0.00100147
739	1.67867	1.66422	0.0010003
740	1.64549	1.6642	0.000999273
741	1.68702	1.66423	0.000998399
742	1.67687	1.66425	0.000997198
743	1.61067	1.66417	0.00099846
744	1.63681	1.66414	0.000997795
745	1.68018	1.66416	0.000996688
746	1.6748	1.66417	0.000995454
747	1.66385	1.66417	0.000994122
748	1.65317	1.66416	0.000992902
749	1.6985	1.6642	0.000992634
750	1.65817	1.6642	0.000991343
751	1.62256	1.66414	0.000991573
752	1.66996	1.66415	0.000990284
753	1.69979	1.6642	0.000990099
754	1.62537	1.66414	0.000990124
755	1.68201	1.66417	0.000989096
756	1.64744	1.66415	0.000988035
757	1.61682	1.66408	0.000988705
758	1.6956	1.66412	0.000988275
759	1.67685	1.66414	0.000987115
760	1.6363	1.6641	0.000986495
761	1.71806	1.66418	0.000987744
762	1.68971	1.66421	0.000987016
763	1.65537	1.6642	0.00098579
764	1.66906	1.6642	0.00098452
765	1.66442	1.6642	0.000983234
766	1.66071	1.6642	0.00098196
767	1.63284	1.66416	0.000981531
768	1.6843	1.66418	0.000980603
769	1.68836	1.66422	0.000979832
770	1.66566	1.66422	0.000978561
771	1.63483	1.66418	0.000978034
