BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
575	1.09899	1.10934	0.000819773
576	1.11666	1.10936	0.000818448
577	1.12591	1.10939	0.000817532
578	1.11326	1.10939	0.000816145
579	1.11803	1.10941	0.000814872
580	1.09866	1.10939	0.000813678
581	1.11478	1.1094	0.00081233
582	1.0953	1.10937	0.000811296
583	1.08689	1.10934	0.00081082
584	1.10294	1.10932	0.000809506
585	1.10907	1.10932	0.000808122
586	1.11018	1.10933	0.000806744
587	1.08445	1.10928	0.000806482
588	1.09521	1.10926	0.000805465
589	1.12501	1.10929	0.000804542
590	1.12102	1.10931	0.000803423
591	1.13194	1.10934	0.000802976
592	1.11227	1.10935	0.000801635
593	1.09282	1.10932	0.000800768
594	1.07544	1.10926	0.000801448
595	1.10497	1.10926	0.000800134
596	1.08823	1.10922	0.000799569
597	1.11685	1.10923	0.000798331
598	1.13879	1.10928	0.000798524
599	1.09676	1.10926	0.000797465
600	1.09815	1.10924	0.000796351
601	1.10492	1.10924	0.000795058
602	1.11669	1.10925	0.000793834
603	1.10186	1.10924	0.000792612
604	1.10381	1.10923	0.000791351
605	1.08451	1.10919	0.000791097
606	1.07912	1.10914	0.000791346
607	1.06656	1.10907	0.000793144
608	1.08065	1.10902	0.000793216
609	1.11159	1.10903	0.000791925
610	1.12848	1.10906	0.000791268
611	1.13443	1.1091	0.000791063
612	1.09276	1.10907	0.000790221
613	1.09323	1.10905	0.000789354
614	1.1077	1.10904	0.000788071
615	1.09672	1.10902	0.000787045
616	1.11019	1.10903	0.000785769
617	1.13679	1.10907	0.000785783
618	1.10513	1.10906	0.000784537
619	1.10288	1.10905	0.000783334
620	1.12667	1.10908	0.000782585
621	1.11413	1.10909	0.000781367
622	1.09891	1.10907	0.000780282
623	1.07574	1.10902	0.000780862
624	1.07061	1.10896	0.000782033
625	1.10742	1.10896	0.000780786
626	1.10575	1.10895	0.000779555
627	1.09446	1.10893	0.000778654
628	1.14688	1.10899	0.000779756
629	1.09422	1.10897	0.00077887
630	1.12458	1.10899	0.000778028
631	1.13367	1.10903	0.000777778
632	1.08366	1.10899	0.000777583
633	1.10165	1.10898	0.000776441
634	1.10528	1.10897	0.000775238
635	1.1066	1.10897	0.000774026
636	1.11517	1.10898	0.000772871
637	1.12711	1.10901	0.000772181
