BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
325	-7.55383	-7.54667	0.000709335
326	-7.53043	-7.54662	0.000708906
327	-7.56259	-7.54667	0.000708418
328	-7.55883	-7.5467	0.000707228
329	-7.54753	-7.54671	0.000705083
330	-7.56383	-7.54676	0.000704852
331	-7.55815	-7.54679	0.000703562
332	-7.52542	-7.54673	0.000704382
333	-7.55618	-7.54676	0.000702839
334	-7.56165	-7.5468	0.000702147
335	-7.54585	-7.5468	0.000700056
336	-7.55234	-7.54682	0.000698167
337	-7.54108	-7.5468	0.000696303
338	-7.55226	-7.54681	0.00069443
339	-7.5502	-7.54682	0.000692454
340	-7.54786	-7.54683	0.000690424
341	-7.53317	-7.54679	0.000689559
342	-7.54169	-7.54677	0.000687704
343	-7.54068	-7.54675	0.000685929
344	-7.53956	-7.54673	0.000684254
345	-7.50586	-7.54662	0.000692452
346	-7.54264	-7.5466	0.000690546
347	-7.54726	-7.54661	0.000688559
348	-7.55258	-7.54662	0.000686795
349	-7.55243	-7.54664	0.000685028
350	-7.52665	-7.54658	0.000685448
351	-7.53439	-7.54655	0.000684375
352	-7.56095	-7.54659	0.000683654
353	-7.56573	-7.54664	0.000683865
354	-7.54167	-7.54663	0.000682077
355	-7.54939	-7.54664	0.0006802
356	-7.56173	-7.54668	0.000679609
357	-7.55585	-7.5467	0.000678191
358	-7.54201	-7.54669	0.000676423
359	-7.55217	-7.54671	0.000674711
360	-7.55554	-7.54673	0.000673283
361	-7.53032	-7.54669	0.000672952
362	-7.53617	-7.54666	0.000671719
363	-7.55054	-7.54667	0.000669954
364	-7.53655	-7.54664	0.00066869
365	-7.53708	-7.54661	0.000667371
366	-7.53472	-7.54658	0.000666338
367	-7.55194	-7.5466	0.000664683
368	-7.54894	-7.5466	0.000662907
369	-7.53267	-7.54656	0.000662184
370	-7.56057	-7.5466	0.000661475
371	-7.53752	-7.54658	0.000660145
372	-7.54788	-7.54658	0.00065838
373	-7.52143	-7.54651	0.000660058
374	-7.5654	-7.54656	0.000660222
375	-7.55617	-7.54659	0.000658958
376	-7.5601	-7.54663	0.000658185
377	-7.56608	-7.54668	0.000658458
378	-7.53275	-7.54664	0.000657746
379	-7.5483	-7.54665	0.000656025
380	-7.54204	-7.54663	0.000654411
381	-7.54986	-7.54664	0.000652748
382	-7.52545	-7.54659	0.000653392
383	-7.56527	-7.54663	0.000653504
384	-7.54717	-7.54664	0.000651804
385	-7.53556	-7.54661	0.000650745
386	-7.54882	-7.54661	0.000649084
387	-7.54744	-7.54662	0.000647411
388	-7.54424	-7.54661	0.000645771
389	-7.57311	-7.54668	0.000647695
390	-7.53299	-7.54664	0.000646985
391	-7.54394	-7.54664	0.000645367
392	-7.54574	-7.54663	0.000643725
393	-7.55983	-7.54667	0.000642962
394	-7.52546	-7.54661	0.000643579
395	-7.52802	-7.54657	0.000643669
396	-7.52163	-7.5465	0.000645118
397	-7.54716	-7.5465	0.000643495
398	-7.53591	-7.54648	0.000642428
399	-7.55315	-7.54649	0.000641036
400	-7.54064	-7.54648	0.0006396
401	-7.55901	-7.54651	0.000638768
402	-7.54038	-7.5465	0.000637361
403	-7.53887	-7.54648	0.00063606
404	-7.55652	-7.5465	0.000634972
405	-7.53935	-7.54648	0.000633649
406	-7.55068	-7.54649	0.000632173
407	-7.53302	-7.54646	0.000631486
408	-7.54393	-7.54646	0.000629968
409	-7.54877	-7.54646	0.000628453
410	-7.54442	-7.54646	0.00062694
411	-7.54327	-7.54645	0.000625463
412	-7.54014	-7.54643	0.000624132
413	-7.56038	-7.54647	0.000623533
414	-7.54304	-7.54646	0.000622082
415	-7.55074	-7.54647	0.000620669
416	-7.56263	-7.54651	0.000620392
417	-7.55405	-7.54653	0.000619168
418	-7.53614	-7.5465	0.000618185
419	-7.57063	-7.54656	0.000619386
420	-7.56506	-7.5466	0.000619476
421	-7.55427	-7.54662	0.000618273
422	-7.54984	-7.54663	0.000616855
423	-7.55119	-7.54664	0.000615491
424	-7.56045	-7.54667	0.000614901
425	-7.56051	-7.5467	0.000614316
426	-7.55619	-7.54673	0.000613277
427	-7.56079	-7.54676	0.000612725
428	-7.55229	-7.54677	0.000611429
429	-7.54107	-7.54676	0.000610149
430	-7.5482	-7.54676	0.000608739
431	-7.54788	-7.54676	0.000607332
432	-7.51833	-7.5467	0.000609482
433	-7.57617	-7.54677	0.000611864
434	-7.55887	-7.54679	0.000611089
435	-7.55181	-7.54681	0.000609793
436	-7.55634	-7.54683	0.000608786
437	-7.54464	-7.54682	0.000607414
438	-7.52992	-7.54678	0.000607251
439	-7.55414	-7.5468	0.000606099
440	-7.54877	-7.54681	0.000604738
441	-7.53255	-7.54677	0.000604231
442	-7.54875	-7.54678	0.00060288
443	-7.53965	-7.54676	0.000601734
444	-7.55457	-7.54678	0.000600636
445	-7.52501	-7.54673	0.000601275
446	-7.57216	-7.54679	0.000602624
447	-7.52832	-7.54675	0.000602691
448	-7.53698	-7.54672	0.00060174
449	-7.54696	-7.54673	0.0006004
450	-7.55196	-7.54674	0.000599178
451	-7.53375	-7.54671	0.000598541
452	-7.53257	-7.54668	0.000598033
453	-7.55302	-7.54669	0.000596877
454	-7.56468	-7.54673	0.000596875
455	-7.54172	-7.54672	0.000595665
456	-7.53072	-7.54668	0.000595392
457	-7.5706	-7.54674	0.000596385
458	-7.54057	-7.54672	0.000595235
459	-7.55476	-7.54674	0.000594195
460	-7.55517	-7.54676	0.000593186
461	-7.53248	-7.54673	0.000592707
462	-7.55999	-7.54676	0.000592119
463	-7.55546	-7.54678	0.000591139
464	-7.53311	-7.54675	0.000590598
465	-7.54081	-7.54673	0.000589465
466	-7.53055	-7.5467	0.000589222
467	-7.56086	-7.54673	0.00058874
468	-7.54938	-7.54673	0.00058751
469	-7.54195	-7.54672	0.000586345
470	-7.55569	-7.54674	0.000585408
471	-7.54664	-7.54674	0.000584166
472	-7.54701	-7.54674	0.000582928
473	-7.56056	-7.54677	0.000582427
474	-7.54399	-7.54677	0.000581228
