BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
528	1.88387	1.86775	0.00180553
529	1.86432	1.86775	0.00180213
530	1.83706	1.86769	0.00179966
531	1.86391	1.86768	0.00179628
532	1.84557	1.86764	0.00179339
533	1.86271	1.86763	0.00179005
534	1.87965	1.86765	0.00178684
535	1.93704	1.86778	0.0017882
536	1.86186	1.86777	0.00178489
537	1.83474	1.86771	0.00178263
538	1.80379	1.86759	0.00178327
539	1.80577	1.86748	0.00178365
540	1.77171	1.8673	0.00178914
541	1.80506	1.86718	0.00178953
542	1.86084	1.86717	0.00178626
543	1.82992	1.8671	0.00178429
544	1.83694	1.86705	0.00178187
545	1.84081	1.867	0.00177925
546	1.85189	1.86697	0.00177621
547	1.86367	1.86697	0.00177297
548	1.84076	1.86692	0.00177038
549	1.81943	1.86683	0.00176927
550	1.84462	1.86679	0.00176651
551	1.88448	1.86682	0.0017636
552	1.94242	1.86696	0.00176571
553	1.93815	1.86709	0.00176721
554	1.92292	1.86719	0.00176689
555	1.93913	1.86732	0.00176845
556	1.97342	1.86751	0.00177554
557	1.9157	1.8676	0.00177446
558	1.90402	1.86766	0.00177248
559	1.86573	1.86766	0.00176931
560	1.87856	1.86768	0.00176626
561	1.86898	1.86768	0.00176311
562	1.86561	1.86768	0.00175998
563	1.96957	1.86786	0.00176613
564	1.95978	1.86802	0.0017705
565	1.88584	1.86805	0.00176765
566	1.8233	1.86797	0.0017663
567	1.83714	1.86792	0.00176402
568	1.84407	1.86788	0.00176141
569	1.82241	1.8678	0.00176013
570	1.8138	1.8677	0.00175959
571	1.8262	1.86763	0.00175801
572	1.87582	1.86764	0.00175499
573	1.85516	1.86762	0.00175206
574	1.86482	1.86762	0.00174902
575	1.85315	1.86759	0.00174616
576	1.86964	1.8676	0.00174313
577	1.85155	1.86757	0.00174033
578	1.81196	1.86747	0.00173998
579	1.77231	1.86731	0.00174472
580	1.8134	1.86721	0.00174418
581	1.87528	1.86723	0.00174123
582	1.88377	1.86726	0.00173847
583	1.90908	1.86733	0.00173697
584	1.85664	1.86731	0.00173409
585	1.89737	1.86736	0.00173189
586	1.89187	1.8674	0.00172944
587	1.88228	1.86743	0.00172668
588	1.89219	1.86747	0.00172426
589	1.86315	1.86746	0.00172135
590	1.85206	1.86744	0.00171863
591	1.83829	1.86739	0.00171643
592	1.85401	1.86737	0.00171367
593	1.88852	1.8674	0.00171116
594	1.8446	1.86736	0.00170871
595	1.85639	1.86734	0.00170593
596	1.88702	1.86738	0.00170339
597	1.91528	1.86746	0.00170243
598	1.87143	1.86746	0.00169959
599	1.87017	1.86747	0.00169676
600	1.83469	1.86741	0.00169481
601	1.83792	1.86736	0.0016927
602	1.86455	1.86736	0.0016899
603	1.82616	1.86729	0.00168848
604	1.77831	1.86714	0.00169209
605	1.86287	1.86714	0.00168931
606	1.87185	1.86715	0.00168654
607	1.85512	1.86713	0.00168388
608	1.86758	1.86713	0.00168111
609	1.83532	1.86707	0.00167916
610	1.83723	1.86702	0.00167712
611	1.84528	1.86699	0.00167475
612	1.85769	1.86697	0.00167209
613	1.81457	1.86689	0.00167154
614	1.83128	1.86683	0.00166983
615	1.82253	1.86676	0.00166866
616	1.88376	1.86679	0.00166618
617	1.85665	1.86677	0.00166356
618	1.86045	1.86676	0.0016609
619	1.88309	1.86679	0.00165843
620	1.86844	1.86679	0.00165576
621	1.89536	1.86683	0.00165373
622	1.89803	1.86688	0.00165183
623	1.88242	1.86691	0.00164937
624	1.89356	1.86695	0.00164728
625	1.82457	1.86688	0.00164604
626	1.8152	1.8668	0.00164548
627	1.81521	1.86672	0.00164491
628	1.83909	1.86668	0.00164288
629	1.83805	1.86663	0.0016409
630	1.85846	1.86662	0.00163834
631	1.80338	1.86652	0.00163881
632	1.84551	1.86648	0.00163655
633	1.88653	1.86652	0.00163427
634	1.84196	1.86648	0.00163216
635	1.85715	1.86646	0.00162965
636	1.8322	1.86641	0.00162798
637	1.84862	1.86638	0.00162566
638	1.92881	1.86648	0.00162606
639	1.9227	1.86657	0.00162589
640	1.90117	1.86662	0.00162425
641	1.90426	1.86668	0.00162278
642	1.87173	1.86669	0.00162027
643	1.93769	1.8668	0.00162151
644	1.97214	1.86696	0.00162722
645	1.96767	1.86712	0.00163217
646	1.90143	1.86717	0.00163051
647	1.89604	1.86721	0.0016286
648	1.91076	1.86728	0.00162747
649	1.94975	1.86741	0.00162992
650	2.01666	1.86764	0.0016435
651	1.96609	1.86779	0.00164792
652	1.9309	1.86789	0.00164823
653	1.92857	1.86798	0.00164833
654	1.89881	1.86803	0.00164648
655	1.88273	1.86805	0.00164412
656	1.89352	1.86809	0.00164207
657	1.9102	1.86815	0.00164082
658	1.91617	1.86822	0.00163995
659	1.90844	1.86829	0.0016386
660	1.89906	1.86833	0.00163678
661	1.88863	1.86836	0.00163459
662	1.89743	1.86841	0.00163271
663	1.8581	1.86839	0.00163032
664	1.86679	1.86839	0.00162787
665	1.90067	1.86844	0.00162614
666	1.89107	1.86847	0.00162406
667	1.8733	1.86848	0.00162164
668	1.84637	1.86845	0.00161955
669	1.88031	1.86846	0.00161723
670	1.86667	1.86846	0.00161481
671	1.85132	1.86844	0.00161261
672	1.82805	1.86838	0.00161133
673	1.83109	1.86832	0.00160989
674	1.88511	1.86834	0.00160769
675	1.83202	1.86829	0.00160621
676	1.87257	1.8683	0.00160385
677	1.83572	1.86825	0.0016022
678	1.87506	1.86826	0.00159987
679	1.83105	1.8682	0.00159845
680	1.89906	1.86825	0.00159674
681	1.92072	1.86833	0.00159626
682	1.91535	1.8684	0.0015954
683	1.91337	1.86846	0.00159443
684	1.87855	1.86848	0.00159216
685	1.8993	1.86852	0.00159048
686	1.90672	1.86858	0.00158913
687	1.84809	1.86855	0.0015871
688	1.82971	1.86849	0.00158579
689	1.87089	1.86849	0.0015835
690	1.8686	1.86849	0.0015812
691	1.89554	1.86853	0.0015794
692	1.84794	1.8685	0.0015774
693	1.85642	1.86849	0.00157522
694	1.86688	1.86848	0.00157295
695	1.84852	1.86846	0.00157095
696	1.87025	1.86846	0.00156869
697	1.88788	1.86849	0.00156669
698	1.85999	1.86847	0.00156449
699	1.84116	1.86843	0.00156274
700	1.86901	1.86844	0.00156051
701	1.8644	1.86843	0.00155829
702	1.86965	1.86843	0.00155607
703	1.8717	1.86844	0.00155387
704	1.89181	1.86847	0.00155202
705	1.87165	1.86847	0.00154982
706	1.80913	1.86839	0.0015499
707	1.85973	1.86838	0.00154776
708	1.88893	1.86841	0.00154585
709	1.83272	1.86836	0.00154448
710	1.85908	1.86834	0.00154236
711	1.9006	1.86839	0.00154086
712	1.88562	1.86841	0.00153889
713	1.90957	1.86847	0.00153781
714	1.91815	1.86854	0.00153723
715	1.88051	1.86856	0.00153517
716	1.87432	1.86856	0.00153305
717	1.84485	1.86853	0.00153127
718	1.88083	1.86855	0.00152923
719	1.88792	1.86858	0.00152734
720	1.82388	1.86851	0.00152648
721	1.82547	1.86845	0.00152553
722	1.83614	1.86841	0.00152407
723	1.81442	1.86833	0.00152379
724	1.8417	1.8683	0.00152213
725	1.89903	1.86834	0.00152062
726	1.84303	1.86831	0.00151893
727	1.85891	1.86829	0.0015169
728	1.86329	1.86829	0.00151483
729	1.85403	1.86827	0.00151288
730	1.86766	1.86827	0.0015108
731	1.87137	1.86827	0.00150874
732	1.87757	1.86828	0.00150674
733	1.87868	1.8683	0.00150475
734	1.92943	1.86838	0.001505
735	1.83986	1.86834	0.00150345
736	1.82436	1.86828	0.0015026
