BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
554	-5.47649	-5.4648	0.000771815
555	-5.47797	-5.46482	0.000770789
556	-5.46242	-5.46482	0.000769415
557	-5.48472	-5.46485	0.000768863
558	-5.45204	-5.46483	0.000767828
559	-5.47085	-5.46484	0.00076653
560	-5.46654	-5.46484	0.000765167
561	-5.48581	-5.46488	0.000764716
562	-5.47026	-5.46489	0.000763415
563	-5.46766	-5.46489	0.000762075
564	-5.44342	-5.46486	0.000761674
565	-5.45917	-5.46485	0.000760392
566	-5.47653	-5.46487	0.000759329
567	-5.48242	-5.4649	0.000758621
568	-5.45636	-5.46488	0.000757434
569	-5.48334	-5.46492	0.000756797
570	-5.42893	-5.46485	0.000758097
571	-5.44403	-5.46482	0.000757646
572	-5.43868	-5.46477	0.000757698
573	-5.47198	-5.46478	0.00075648
574	-5.4703	-5.46479	0.000755223
575	-5.44712	-5.46476	0.000754535
576	-5.44189	-5.46472	0.000754269
577	-5.45729	-5.46471	0.000753072
578	-5.44807	-5.46468	0.000752319
579	-5.48664	-5.46472	0.000751976
580	-5.4633	-5.46472	0.000750683
581	-5.45	-5.46469	0.000749818
582	-5.49149	-5.46474	0.000749942
583	-5.445	-5.4647	0.00074942
584	-5.47033	-5.46471	0.000748198
585	-5.45799	-5.4647	0.000747008
586	-5.45519	-5.46468	0.000745909
587	-5.47034	-5.46469	0.0007447
588	-5.49079	-5.46474	0.000744755
589	-5.45693	-5.46472	0.000743609
590	-5.46491	-5.46473	0.000742348
591	-5.47611	-5.46474	0.000741342
592	-5.47918	-5.46477	0.000740491
593	-5.46149	-5.46476	0.000739263
594	-5.49545	-5.46482	0.000739821
595	-5.43677	-5.46477	0.000740078
596	-5.49598	-5.46482	0.000740687
597	-5.48101	-5.46485	0.000739942
598	-5.47566	-5.46487	0.000738926
599	-5.41477	-5.46478	0.000742411
600	-5.43961	-5.46474	0.000742357
601	-5.44899	-5.46471	0.000741585
602	-5.4901	-5.46476	0.00074155
603	-5.4749	-5.46477	0.000740511
604	-5.44261	-5.46474	0.000740194
605	-5.4544	-5.46472	0.000739167
606	-5.45528	-5.4647	0.000738112
607	-5.48539	-5.46474	0.000737682
608	-5.47099	-5.46475	0.00073654
609	-5.44798	-5.46472	0.000735845
610	-5.47248	-5.46473	0.000734749
611	-5.4728	-5.46475	0.000733665
612	-5.45482	-5.46473	0.000732645
613	-5.45016	-5.46471	0.000731835
614	-5.44617	-5.46468	0.000731266
615	-5.44876	-5.46465	0.000730535
616	-5.43924	-5.46461	0.000730512
617	-5.4325	-5.46456	0.00073118
618	-5.45562	-5.46454	0.00073014
619	-5.4916	-5.46459	0.000730268
620	-5.44457	-5.46455	0.000729803
621	-5.45633	-5.46454	0.000728748
622	-5.45951	-5.46453	0.000727621
623	-5.47009	-5.46454	0.000726508
624	-5.51224	-5.46462	0.000729354
625	-5.42049	-5.46455	0.000731597
626	-5.43789	-5.4645	0.000731667
627	-5.45195	-5.46448	0.000730774
628	-5.45862	-5.46448	0.00072967
629	-5.455	-5.46446	0.000728666
630	-5.4832	-5.46449	0.000728116
631	-5.45828	-5.46448	0.000727029
632	-5.46679	-5.46448	0.000725887
633	-5.42502	-5.46442	0.000727413
634	-5.47323	-5.46444	0.000726398
635	-5.45714	-5.46442	0.000725345
636	-5.47877	-5.46445	0.000724556
637	-5.47592	-5.46446	0.000723642
638	-5.45471	-5.46445	0.000722669
639	-5.48668	-5.46448	0.000722376
640	-5.46893	-5.46449	0.00072128
641	-5.45576	-5.46448	0.000720284
642	-5.46456	-5.46448	0.000719162
643	-5.44168	-5.46444	0.000718916
644	-5.46007	-5.46443	0.000717832
645	-5.46939	-5.46444	0.00071676
646	-5.45185	-5.46442	0.000715915
647	-5.47649	-5.46444	0.000715052
648	-5.48552	-5.46447	0.000714688
649	-5.47527	-5.46449	0.000713781
650	-5.44664	-5.46446	0.00071321
651	-5.45575	-5.46445	0.00071224
652	-5.4425	-5.46442	0.000711943
653	-5.44619	-5.46439	0.0007114
654	-5.46887	-5.4644	0.000710345
655	-5.4211	-5.46433	0.000712329
656	-5.47714	-5.46435	0.000711511
657	-5.49885	-5.4644	0.000712363
658	-5.48447	-5.46443	0.000711933
659	-5.46921	-5.46444	0.00071089
660	-5.44608	-5.46441	0.000710357
661	-5.44871	-5.46439	0.00070968
662	-5.4583	-5.46438	0.000708667
663	-5.45868	-5.46437	0.00070765
664	-5.46373	-5.46437	0.000706585
665	-5.45916	-5.46436	0.000705566
666	-5.44283	-5.46433	0.000705247
667	-5.46194	-5.46433	0.000704198
668	-5.48114	-5.46435	0.000703594
669	-5.46506	-5.46435	0.000702543
670	-5.43185	-5.4643	0.000703167
671	-5.42941	-5.46425	0.00070404
672	-5.46139	-5.46425	0.000703005
673	-5.46846	-5.46425	0.000701988
674	-5.46186	-5.46425	0.000700956
675	-5.50329	-5.46431	0.0007023
676	-5.46815	-5.46431	0.000701284
677	-5.43583	-5.46427	0.000701509
678	-5.46102	-5.46427	0.00070049
679	-5.45271	-5.46425	0.000699665
680	-5.47011	-5.46426	0.00069869
681	-5.45556	-5.46424	0.00069778
682	-5.45551	-5.46423	0.000696875
683	-5.45055	-5.46421	0.000696142
684	-5.46682	-5.46422	0.000695135
685	-5.44643	-5.46419	0.000694605
686	-5.45245	-5.46417	0.000693803
687	-5.45586	-5.46416	0.000692898
688	-5.46294	-5.46416	0.000691893
689	-5.45085	-5.46414	0.000691159
690	-5.45511	-5.46413	0.000690281
691	-5.43987	-5.46409	0.000690174
692	-5.45696	-5.46408	0.000689254
693	-5.44838	-5.46406	0.000688631
694	-5.46562	-5.46406	0.000687643
