BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
360	1.65	1.65	3.02746e-09
361	1.65	1.65	3.34214e-09
362	1.65	1.65	3.33752e-09
363	1.65	1.65	3.62311e-09
364	1.65	1.65	3.61813e-09
365	1.65	1.65	3.88105e-09
366	1.65	1.65	3.87574e-09
367	1.65	1.65	4.12032e-09
368	1.65	1.65	4.11472e-09
369	1.65	1.65	4.34405e-09
370	1.65	1.65	4.56072e-09
371	1.65	1.65	4.55457e-09
372	1.65	1.65	4.76005e-09
373	1.65	1.65	4.75367e-09
374	1.65	1.65	4.94936e-09
375	1.65	1.65	4.94276e-09
376	1.65	1.65	5.12978e-09
377	1.65	1.65	5.12297e-09
378	1.65	1.65	5.30225e-09
379	1.65	1.65	5.29525e-09
380	1.65	1.65	5.46756e-09
381	1.65	1.65	5.46038e-09
382	1.65	1.65	5.62636e-09
383	1.65	1.65	5.61901e-09
384	1.65	1.65	5.7792e-09
385	1.65	1.65	5.93428e-09
386	1.65	1.65	5.92659e-09
387	1.65	1.65	6.07677e-09
388	1.65	1.65	6.06893e-09
389	1.65	1.65	6.21457e-09
390	1.65	1.65	6.2066e-09
391	1.65	1.65	6.34802e-09
392	1.65	1.65	6.33992e-09
393	1.65	1.65	6.33185e-09
394	1.65	1.65	6.46918e-09
395	1.65	1.65	6.46099e-09
396	1.65	1.65	6.59464e-09
397	1.65	1.65	6.58633e-09
398	1.65	1.65	6.71654e-09
399	1.65	1.65	6.70812e-09
400	1.65	1.65	6.83507e-09
401	1.65	1.65	6.82654e-09
402	1.65	1.65	6.95043e-09
403	1.65	1.65	6.9418e-09
404	1.65	1.65	7.0628e-09
405	1.65	1.65	7.05407e-09
406	1.65	1.65	7.17232e-09
407	1.65	1.65	7.1635e-09
408	1.65	1.65	7.27914e-09
409	1.65	1.65	7.27024e-09
410	1.65	1.65	7.26137e-09
411	1.65	1.65	7.37442e-09
412	1.65	1.65	7.36546e-09
413	1.65	1.65	7.47615e-09
414	1.65	1.65	7.46712e-09
415	1.65	1.65	7.57556e-09
416	1.65	1.65	7.56645e-09
417	1.65	1.65	7.67275e-09
418	1.65	1.65	7.66357e-09
419	1.65	1.65	7.65442e-09
420	1.65	1.65	7.75856e-09
421	1.65	1.65	7.74934e-09
422	1.65	1.65	7.85152e-09
423	1.65	1.65	7.84223e-09
424	1.65	1.65	7.83298e-09
425	1.65	1.65	7.93318e-09
426	1.65	1.65	7.92386e-09
427	1.65	1.65	8.02225e-09
428	1.65	1.65	8.01288e-09
429	1.65	1.65	8.10953e-09
430	1.65	1.65	8.1001e-09
431	1.65	1.65	8.0907e-09
432	1.65	1.65	8.1856e-09
433	1.65	1.65	8.17614e-09
434	1.65	1.65	8.26944e-09
435	1.65	1.65	8.25993e-09
436	1.65	1.65	8.25045e-09
437	1.65	1.65	8.34212e-09
438	1.65	1.65	8.33259e-09
439	1.65	1.65	8.42277e-09
440	1.65	1.65	8.41319e-09
441	1.65	1.65	8.40365e-09
442	1.65	1.65	8.49231e-09
443	1.65	1.65	8.48272e-09
444	1.65	1.65	8.47316e-09
445	1.65	1.65	8.56036e-09
446	1.65	1.65	8.55075e-09
447	1.65	1.65	8.63661e-09
448	1.65	1.65	8.62697e-09
449	1.65	1.65	8.61736e-09
450	1.65	1.65	8.70185e-09
451	1.65	1.65	8.69219e-09
452	1.65	1.65	8.68257e-09
453	1.65	1.65	8.76574e-09
454	1.65	1.65	8.75608e-09
455	1.65	1.65	8.83804e-09
456	1.65	1.65	8.82834e-09
457	1.65	1.65	8.81868e-09
458	1.65	1.65	8.89939e-09
459	1.65	1.65	8.88969e-09
460	1.65	1.65	8.88002e-09
461	1.65	1.65	8.95953e-09
462	1.65	1.65	8.94983e-09
463	1.65	1.65	8.94016e-09
464	1.65	1.65	9.0185e-09
465	1.65	1.65	9.0088e-09
466	1.65	1.65	8.99913e-09
467	1.65	1.65	9.07634e-09
468	1.65	1.65	9.06664e-09
469	1.65	1.65	9.14281e-09
470	1.65	1.65	9.13308e-09
471	1.65	1.65	9.12338e-09
472	1.65	1.65	9.19849e-09
473	1.65	1.65	9.18876e-09
474	1.65	1.65	9.17906e-09
475	1.65	1.65	9.25313e-09
476	1.65	1.65	9.2434e-09
477	1.65	1.65	9.23371e-09
478	1.65	1.65	9.30677e-09
479	1.65	1.65	9.29705e-09
480	1.65	1.65	9.28736e-09
481	1.65	1.65	9.35944e-09
482	1.65	1.65	9.34973e-09
483	1.65	1.65	9.34004e-09
484	1.65	1.65	9.33039e-09
485	1.65	1.65	9.40146e-09
486	1.65	1.65	9.39178e-09
487	1.65	1.65	9.38214e-09
488	1.65	1.65	9.45228e-09
489	1.65	1.65	9.44261e-09
490	1.65	1.65	9.43297e-09
491	1.65	1.65	9.50222e-09
492	1.65	1.65	9.49255e-09
493	1.65	1.65	9.48292e-09
494	1.65	1.65	9.55129e-09
495	1.65	1.65	9.54163e-09
496	1.65	1.65	9.53201e-09
497	1.65	1.65	9.59952e-09
498	1.65	1.65	9.58988e-09
499	1.65	1.65	9.58026e-09
500	1.65	1.65	9.57068e-09
501	1.65	1.65	9.6373e-09
502	1.65	1.65	9.6277e-09
503	1.65	1.65	9.61812e-09
504	1.65	1.65	9.68394e-09
505	1.65	1.65	9.67434e-09
506	1.65	1.65	9.66478e-09
507	1.65	1.65	9.7298e-09
508	1.65	1.65	9.72022e-09
509	1.65	1.65	9.71066e-09
510	1.65	1.65	9.70114e-09
511	1.65	1.65	9.76534e-09
512	1.65	1.65	9.7558e-09
513	1.65	1.65	9.74629e-09
514	1.65	1.65	9.80973e-09
515	1.65	1.65	9.8002e-09
516	1.65	1.65	9.7907e-09
517	1.65	1.65	9.78123e-09
518	1.65	1.65	9.8439e-09
519	1.65	1.65	9.83441e-09
520	1.65	1.65	9.82495e-09
521	1.65	1.65	9.8869e-09
522	1.65	1.65	9.87742e-09
523	1.65	1.65	9.86798e-09
524	1.65	1.65	9.85856e-09
525	1.65	1.65	9.91976e-09
526	1.65	1.65	9.91033e-09
527	1.65	1.65	9.90092e-09
528	1.65	1.65	9.89154e-09
529	1.65	1.65	9.95203e-09
530	1.65	1.65	9.94263e-09
531	1.65	1.65	9.93327e-09
532	1.65	1.65	9.99308e-09
533	1.65	1.65	9.9837e-09
534	1.65	1.65	9.97435e-09
535	1.65	1.65	9.96502e-09
536	1.65	1.65	1.00241e-08
537	1.65	1.65	1.00148e-08
538	1.65	1.65	1.00055e-08
539	1.65	1.65	9.99621e-09
540	1.65	1.65	1.00547e-08
541	1.65	1.65	1.00454e-08
542	1.65	1.65	1.00361e-08
543	1.65	1.65	1.00268e-08
544	1.65	1.65	1.00846e-08
545	1.65	1.65	1.00754e-08
546	1.65	1.65	1.00661e-08
