BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
396	0.0611833	0.0619677	6.52355e-05
397	0.0620263	0.0619679	6.50714e-05
398	0.0631353	0.0619708	6.4974e-05
399	0.0642372	0.0619765	6.50589e-05
400	0.0636496	0.0619807	6.50306e-05
401	0.0638144	0.0619853	6.5029e-05
402	0.0647592	0.0619922	6.52323e-05
403	0.0637057	0.0619964	6.52089e-05
404	0.0636731	0.0620006	6.51794e-05
405	0.0646282	0.0620071	6.53406e-05
406	0.0647387	0.0620138	6.55251e-05
407	0.0653885	0.0620221	6.58867e-05
408	0.0642239	0.0620275	6.59458e-05
409	0.0626768	0.0620291	6.58037e-05
410	0.0623387	0.0620298	6.56475e-05
411	0.0628075	0.0620317	6.5515e-05
412	0.0616204	0.0620307	6.53636e-05
413	0.0628102	0.0620326	6.52326e-05
414	0.0622447	0.0620331	6.50771e-05
415	0.0622291	0.0620336	6.4922e-05
416	0.06227	0.0620341	6.47684e-05
417	0.0612706	0.0620323	6.46389e-05
418	0.0621244	0.0620325	6.44847e-05
419	0.0608557	0.0620297	6.43919e-05
420	0.0615346	0.0620285	6.42494e-05
421	0.0623493	0.0620293	6.41013e-05
422	0.0622484	0.0620298	6.39515e-05
423	0.0618975	0.0620295	6.38011e-05
424	0.0597014	0.062024	6.38865e-05
425	0.0587213	0.0620163	6.4207e-05
426	0.0603661	0.0620124	6.4173e-05
427	0.0605429	0.0620089	6.4115e-05
428	0.0595239	0.0620031	6.42275e-05
429	0.0632074	0.0620059	6.41391e-05
430	0.0634087	0.0620092	6.40729e-05
431	0.0613379	0.0620076	6.39431e-05
432	0.0605617	0.0620043	6.38827e-05
433	0.0613269	0.0620027	6.37543e-05
434	0.0618719	0.0620024	6.36081e-05
435	0.0617839	0.0620019	6.34639e-05
436	0.0623586	0.0620027	6.33236e-05
437	0.0620118	0.0620028	6.31787e-05
438	0.0624635	0.0620038	6.30432e-05
439	0.0625841	0.0620051	6.29134e-05
440	0.0624997	0.0620063	6.27805e-05
441	0.0627815	0.062008	6.26627e-05
442	0.0624247	0.062009	6.2528e-05
443	0.0626091	0.0620103	6.24016e-05
444	0.0621971	0.0620107	6.22624e-05
445	0.0610136	0.0620085	6.21628e-05
446	0.0619829	0.0620084	6.20235e-05
447	0.0618171	0.062008	6.18862e-05
448	0.062173	0.0620084	6.17492e-05
449	0.0633593	0.0620114	6.16849e-05
450	0.0631229	0.0620139	6.15972e-05
451	0.0635892	0.0620174	6.15596e-05
452	0.0625387	0.0620185	6.14342e-05
453	0.0625396	0.0620197	6.13094e-05
454	0.0625309	0.0620208	6.11847e-05
455	0.0619686	0.0620207	6.10503e-05
456	0.0612572	0.062019	6.09394e-05
457	0.0611695	0.0620171	6.08344e-05
458	0.0600723	0.0620129	6.08496e-05
459	0.0599134	0.0620083	6.08887e-05
460	0.0607659	0.0620056	6.08162e-05
461	0.0630911	0.062008	6.07298e-05
462	0.0642294	0.0620128	6.07884e-05
463	0.0615018	0.0620117	6.06672e-05
464	0.0638669	0.0620157	6.0668e-05
465	0.0628039	0.0620174	6.05612e-05
466	0.0608152	0.0620148	6.04862e-05
467	0.0606005	0.0620118	6.04324e-05
468	0.0626017	0.062013	6.03165e-05
469	0.0629283	0.062015	6.02194e-05
470	0.0618381	0.0620146	6.00925e-05
471	0.0618749	0.0620143	5.99656e-05
472	0.0613716	0.0620129	5.9854e-05
473	0.0622672	0.0620135	5.97299e-05
474	0.0633342	0.0620163	5.96688e-05
475	0.0622894	0.0620168	5.9546e-05
476	0.062058	0.0620169	5.94209e-05
477	0.0607641	0.0620143	5.93544e-05
478	0.0618504	0.062014	5.92312e-05
479	0.0602942	0.0620104	5.92163e-05
480	0.0619121	0.0620102	5.90933e-05
481	0.0628944	0.062012	5.8999e-05
482	0.0610479	0.06201	5.89105e-05
483	0.0605553	0.062007	5.88655e-05
484	0.0612616	0.0620054	5.8764e-05
485	0.062105	0.0620057	5.86432e-05
486	0.0616424	0.0620049	5.85273e-05
487	0.0603911	0.0620016	5.85008e-05
488	0.0611486	0.0619998	5.84071e-05
489	0.0614945	0.0619988	5.82968e-05
490	0.0645703	0.0620041	5.84135e-05
491	0.0641358	0.0620084	5.84557e-05
492	0.0637668	0.062012	5.8446e-05
493	0.0630545	0.0620141	5.83657e-05
494	0.0609891	0.062012	5.82844e-05
495	0.0602028	0.0620084	5.82811e-05
496	0.0608572	0.062006	5.82098e-05
497	0.0612811	0.0620046	5.8111e-05
498	0.0607968	0.0620022	5.80449e-05
499	0.0592958	0.0619967	5.81814e-05
500	0.059975	0.0619927	5.82054e-05
501	0.0603085	0.0619893	5.81862e-05
502	0.0615647	0.0619885	5.80764e-05
503	0.0633893	0.0619913	5.80277e-05
504	0.0624415	0.0619922	5.79194e-05
505	0.0629118	0.061994	5.78334e-05
506	0.0637041	0.0619974	5.78177e-05
507	0.0635141	0.0620003	5.7781e-05
508	0.0630204	0.0620024	5.77022e-05
509	0.0629909	0.0620043	5.76215e-05
510	0.0633805	0.062007	5.75717e-05
511	0.0621718	0.0620073	5.74599e-05
512	0.0618298	0.062007	5.73487e-05
513	0.0613936	0.0620058	5.72494e-05
514	0.0622809	0.0620063	5.71405e-05
515	0.0629325	0.0620081	5.70579e-05
516	0.0619191	0.0620079	5.69475e-05
517	0.0611092	0.0620062	5.68639e-05
518	0.0594739	0.0620013	5.69639e-05
519	0.0612315	0.0619998	5.68734e-05
520	0.0629288	0.0620016	5.67921e-05
521	0.0628401	0.0620032	5.67059e-05
522	0.0628928	0.0620049	5.66229e-05
523	0.0636776	0.0620081	5.66049e-05
524	0.0618495	0.0620078	5.64976e-05
525	0.0629284	0.0620096	5.64172e-05
526	0.0636128	0.0620126	5.63922e-05
527	0.0653982	0.0620191	5.665e-05
528	0.0637504	0.0620223	5.66375e-05
529	0.0628575	0.0620239	5.65524e-05
530	0.0611684	0.0620223	5.64688e-05
531	0.0625289	0.0620232	5.63705e-05
532	0.0646318	0.0620282	5.64774e-05
533	0.0632443	0.0620304	5.64175e-05
534	0.0639465	0.062034	5.64258e-05
535	0.0646869	0.062039	5.65378e-05
536	0.0643115	0.0620432	5.65911e-05
537	0.0621126	0.0620433	5.64858e-05
538	0.0620584	0.0620434	5.63809e-05
539	0.063805	0.0620466	5.63709e-05
540	0.0633311	0.062049	5.63167e-05
541	0.061616	0.0620482	5.62183e-05
542	0.0623833	0.0620488	5.61179e-05
543	0.0625349	0.0620497	5.60217e-05
544	0.0619606	0.0620496	5.5919e-05
545	0.0600026	0.0620458	5.59424e-05
546	0.0610601	0.062044	5.5869e-05
547	0.062348	0.0620446	5.57697e-05
548	0.0619907	0.0620445	5.5668e-05
549	0.0603871	0.0620414	5.56484e-05
550	0.0610328	0.0620396	5.55774e-05
551	0.0624648	0.0620404	5.54819e-05
552	0.0615078	0.0620394	5.53898e-05
553	0.0622401	0.0620398	5.52908e-05
554	0.0621993	0.0620401	5.51918e-05
555	0.0634917	0.0620427	5.51543e-05
556	0.0633862	0.0620451	5.5108e-05
557	0.0644535	0.0620494	5.51784e-05
558	0.0620841	0.0620495	5.50795e-05
559	0.0595172	0.062045	5.5167e-05
560	0.0610443	0.0620432	5.50974e-05
561	0.0602477	0.06204	5.50921e-05
562	0.0608794	0.0620379	5.50327e-05
563	0.0619179	0.0620377	5.49354e-05
564	0.0611367	0.0620361	5.48612e-05
565	0.0613632	0.0620349	5.4777e-05
566	0.0609346	0.062033	5.47147e-05
567	0.0617714	0.0620325	5.46202e-05
568	0.06357	0.0620352	5.45911e-05
569	0.0654231	0.0620412	5.48189e-05
570	0.0647547	0.0620459	5.4929e-05
571	0.0617833	0.0620455	5.48347e-05
572	0.0612161	0.062044	5.4758e-05
573	0.0631689	0.062046	5.46976e-05
574	0.0622063	0.0620463	5.46031e-05
575	0.0600814	0.0620428	5.46149e-05
576	0.0608954	0.0620408	5.45564e-05
577	0.0617037	0.0620403	5.4465e-05
578	0.0606542	0.0620379	5.44235e-05
579	0.0613795	0.0620367	5.43414e-05
580	0.0633993	0.0620391	5.42985e-05
581	0.0624095	0.0620397	5.42088e-05
582	0.0608968	0.0620378	5.41512e-05
583	0.0609066	0.0620358	5.40931e-05
584	0.059999	0.0620323	5.41127e-05
585	0.0605433	0.0620298	5.40801e-05
586	0.0607317	0.0620276	5.40331e-05
587	0.0632536	0.0620297	5.39814e-05
588	0.0636769	0.0620325	5.39623e-05
589	0.0613561	0.0620313	5.38829e-05
590	0.0616048	0.0620306	5.37964e-05
591	0.0613366	0.0620294	5.37182e-05
592	0.0608572	0.0620274	5.36639e-05
593	0.060727	0.0620252	5.36182e-05
594	0.062963	0.0620268	5.35512e-05
595	0.063737	0.0620297	5.35383e-05
596	0.0632517	0.0620317	5.34877e-05
597	0.0617976	0.0620313	5.33995e-05
598	0.0623205	0.0620318	5.33124e-05
599	0.0615069	0.062031	5.32306e-05
600	0.0607475	0.0620288	5.31849e-05
601	0.0600791	0.0620256	5.31952e-05
602	0.0601173	0.0620224	5.32012e-05
603	0.062002	0.0620224	5.3113e-05
604	0.0632375	0.0620244	5.30632e-05
605	0.0620929	0.0620245	5.29756e-05
606	0.0617336	0.062024	5.28903e-05
607	0.0635084	0.0620265	5.28597e-05
608	0.0639961	0.0620297	5.28719e-05
609	0.0619762	0.0620296	5.27852e-05
610	0.0606996	0.0620274	5.27437e-05
611	0.0612858	0.0620262	5.26713e-05
612	0.0589661	0.0620212	5.28221e-05
613	0.0595377	0.0620172	5.2891e-05
614	0.0612854	0.062016	5.28183e-05
615	0.0611666	0.0620146	5.27505e-05
616	0.0618529	0.0620143	5.26655e-05
617	0.060486	0.0620118	5.26384e-05
