BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
331	1.2376	1.23767	0.00135434
332	1.23078	1.23765	0.00135042
333	1.21132	1.23757	0.00134867
334	1.22672	1.23754	0.00134503
335	1.23014	1.23752	0.00134119
336	1.23648	1.23751	0.00133721
337	1.24511	1.23753	0.00133343
338	1.24629	1.23756	0.00132974
339	1.24835	1.23759	0.00132619
340	1.21301	1.23752	0.00132426
341	1.24633	1.23755	0.00132063
342	1.29708	1.23772	0.00132819
343	1.28034	1.23784	0.00133012
344	1.26475	1.23792	0.00132855
345	1.25492	1.23797	0.00132561
346	1.25099	1.23801	0.00132231
347	1.22476	1.23797	0.00131906
348	1.23111	1.23795	0.00131541
349	1.21908	1.2379	0.00131275
350	1.23741	1.2379	0.001309
351	1.24063	1.2379	0.0013053
352	1.26763	1.23799	0.00130432
353	1.2584	1.23805	0.0013019
354	1.29096	1.2382	0.00130678
355	1.29591	1.23836	0.00131317
356	1.26996	1.23845	0.00131248
357	1.26579	1.23852	0.00131104
358	1.26061	1.23859	0.00130883
359	1.2591	1.23864	0.00130643
360	1.27533	1.23874	0.00130677
361	1.30216	1.23892	0.0013149
362	1.31171	1.23912	0.00132656
363	1.28363	1.23924	0.00132856
364	1.28603	1.23937	0.00133111
365	1.27852	1.23948	0.00133178
366	1.25937	1.23953	0.00132925
367	1.28242	1.23965	0.00133075
368	1.2597	1.23971	0.00132825
369	1.30439	1.23988	0.00133617
370	1.27919	1.23999	0.00133678
371	1.25342	1.24002	0.00133366
372	1.24475	1.24004	0.00133014
373	1.23829	1.24003	0.00132658
374	1.19574	1.23991	0.00132831
375	1.24186	1.23992	0.00132478
376	1.25467	1.23996	0.00132183
377	1.25405	1.23999	0.00131886
378	1.25068	1.24002	0.00131567
379	1.28347	1.24014	0.00131718
380	1.26693	1.24021	0.0013156
381	1.24685	1.24023	0.00131226
382	1.26519	1.24029	0.00131045
383	1.26008	1.24034	0.00130805
384	1.26471	1.24041	0.00130618
385	1.31555	1.2406	0.00131729
386	1.29116	1.24073	0.00132038
387	1.26565	1.2408	0.00131853
388	1.25999	1.24085	0.00131606
389	1.28398	1.24096	0.00131734
390	1.27443	1.24104	0.00131676
391	1.28767	1.24116	0.00131878
392	1.25564	1.2412	0.00131593
393	1.26645	1.24126	0.00131415
394	1.24924	1.24128	0.00131097
395	1.23906	1.24128	0.00130767
396	1.22611	1.24124	0.00130493
397	1.24243	1.24124	0.00130164
398	1.26536	1.2413	0.00129978
399	1.28673	1.24142	0.0013015
400	1.27607	1.2415	0.00130113
401	1.27823	1.24159	0.0013011
402	1.29665	1.24173	0.00130505
403	1.27613	1.24182	0.0013046
404	1.27598	1.2419	0.00130411
405	1.29486	1.24203	0.00130743
406	1.29696	1.24217	0.00131119
407	1.3102	1.24233	0.00131858
408	1.28711	1.24244	0.00131991
409	1.25478	1.24247	0.00131703
410	1.24861	1.24249	0.0013139
411	1.25805	1.24253	0.00131125
412	1.23459	1.24251	0.00130821
413	1.25772	1.24255	0.00130556
414	1.2465	1.24255	0.00130244
415	1.24711	1.24257	0.00129935
416	1.24715	1.24258	0.00129627
417	1.22704	1.24254	0.0012937
418	1.24342	1.24254	0.0012906
419	1.21947	1.24249	0.0012887
420	1.23226	1.24246	0.00128586
421	1.24828	1.24248	0.00128288
422	1.24646	1.24249	0.00127987
423	1.23991	1.24248	0.00127686
424	1.19555	1.24237	0.00127864
425	1.17546	1.24221	0.00128528
426	1.20864	1.24213	0.00128468
427	1.21131	1.24206	0.0012837
428	1.19281	1.24195	0.00128585
429	1.26558	1.242	0.00128403
430	1.26933	1.24206	0.00128262
431	1.22851	1.24203	0.00128002
432	1.21295	1.24197	0.00127883
433	1.22819	1.24193	0.00127627
434	1.23896	1.24193	0.00127335
435	1.23798	1.24192	0.00127046
436	1.24902	1.24193	0.00126765
437	1.24272	1.24194	0.00126475
438	1.25162	1.24196	0.00126205
439	1.25397	1.24198	0.00125947
440	1.2526	1.24201	0.00125684
441	1.25836	1.24205	0.00125454
442	1.24992	1.24206	0.00125183
443	1.25338	1.24209	0.00124926
444	1.24569	1.2421	0.00124648
445	1.22243	1.24205	0.00124446
446	1.24166	1.24205	0.00124167
447	1.23788	1.24204	0.00123892
448	1.24518	1.24205	0.00123618
449	1.2683	1.24211	0.00123481
450	1.26459	1.24216	0.00123307
451	1.27397	1.24223	0.00123236
452	1.25238	1.24225	0.00122983
453	1.253	1.24228	0.00122735
454	1.25247	1.2423	0.00122485
455	1.24156	1.2423	0.00122216
456	1.2276	1.24226	0.0012199
457	1.2242	1.24222	0.00121787
458	1.20445	1.24214	0.001218
459	1.2003	1.24205	0.00121876
460	1.21822	1.242	0.00121721
461	1.26398	1.24205	0.0012155
462	1.28691	1.24214	0.00121675
463	1.23287	1.24212	0.00121428
464	1.27889	1.2422	0.00121425
465	1.25783	1.24224	0.0012121
466	1.21778	1.24218	0.00121063
467	1.21425	1.24212	0.00120952
468	1.25412	1.24215	0.00120721
469	1.26099	1.24219	0.0012053
470	1.23849	1.24218	0.00120276
471	1.23938	1.24218	0.00120022
472	1.23024	1.24215	0.00119795
473	1.24707	1.24216	0.00119546
474	1.26807	1.24222	0.00119419
475	1.24834	1.24223	0.00119174
476	1.24355	1.24223	0.00118924
477	1.21812	1.24218	0.00118782
478	1.23914	1.24217	0.00118535
479	1.20772	1.2421	0.00118506
480	1.23944	1.2421	0.0011826
481	1.26011	1.24213	0.00118074
482	1.2234	1.2421	0.00117893
483	1.21253	1.24203	0.00117808
484	1.22649	1.242	0.00117608
485	1.24358	1.24201	0.00117366
486	1.23482	1.24199	0.00117134
487	1.21053	1.24193	0.00117071
488	1.22373	1.24189	0.00116891
489	1.23258	1.24187	0.00116667
490	1.29371	1.24198	0.00116908
491	1.28454	1.24206	0.00116991
492	1.27806	1.24214	0.00116982
493	1.26275	1.24218	0.00116819
494	1.22202	1.24214	0.00116654
495	1.20558	1.24206	0.00116652
496	1.21906	1.24202	0.00116509
497	1.22691	1.24199	0.00116314
498	1.21748	1.24194	0.00116184
499	1.18772	1.24183	0.00116458
500	1.20051	1.24175	0.00116518
501	1.20786	1.24168	0.00116482
502	1.23325	1.24166	0.00116262
503	1.26932	1.24172	0.00116161
504	1.25042	1.24173	0.00115943
505	1.26088	1.24177	0.00115775
506	1.27648	1.24184	0.0011575
507	1.27185	1.2419	0.00115673
508	1.26238	1.24194	0.00115515
509	1.26215	1.24198	0.00115357
510	1.26903	1.24203	0.00115252
511	1.24636	1.24204	0.0011503
512	1.23764	1.24203	0.00114808
513	1.23073	1.24201	0.00114606
514	1.24719	1.24202	0.00114387
515	1.26061	1.24206	0.00114222
516	1.24076	1.24205	0.00114001
517	1.22406	1.24202	0.00113834
518	1.19132	1.24192	0.00114034
519	1.22573	1.24189	0.00113857
520	1.26093	1.24193	0.00113697
521	1.25872	1.24196	0.00113524
522	1.26005	1.24199	0.00113359
523	1.27468	1.24206	0.00113315
524	1.23936	1.24205	0.001131
525	1.26055	1.24209	0.00112939
526	1.27577	1.24215	0.00112906
527	1.31031	1.24228	0.0011343
528	1.27723	1.24235	0.00113408
529	1.25824	1.24238	0.00113234
530	1.22648	1.24235	0.0011306
531	1.25367	1.24237	0.00112867
532	1.29439	1.24246	0.00113077
533	1.2671	1.24251	0.0011296
534	1.28099	1.24258	0.00112978
535	1.29647	1.24268	0.00113215
536	1.28765	1.24277	0.00113314
537	1.24444	1.24277	0.00113103
538	1.24272	1.24277	0.00112893
539	1.27707	1.24283	0.00112863
540	1.26846	1.24288	0.00112754
541	1.23533	1.24287	0.00112554
542	1.24891	1.24288	0.00112352
543	1.25243	1.2429	0.00112159
544	1.24092	1.24289	0.00111953
545	1.20202	1.24282	0.00111998
546	1.22223	1.24278	0.00111857
547	1.24858	1.24279	0.00111657
548	1.24068	1.24279	0.00111454
549	1.2095	1.24273	0.00111416
550	1.22293	1.24269	0.00111272
551	1.25117	1.24271	0.0011108
552	1.23263	1.24269	0.00110894
553	1.24602	1.24269	0.00110695
554	1.24615	1.2427	0.00110497
555	1.27155	1.24275	0.0011042
556	1.26961	1.2428	0.00110327
557	1.29176	1.24289	0.00110479
558	1.24348	1.24289	0.00110281
559	1.19263	1.2428	0.00110449
560	1.22141	1.24276	0.00110318
561	1.2068	1.2427	0.00110308
562	1.21939	1.24266	0.00110189
563	1.24046	1.24265	0.00109994
564	1.22502	1.24262	0.00109844
565	1.22947	1.2426	0.00109674
566	1.22032	1.24256	0.00109551
567	1.23796	1.24255	0.0010936
568	1.27474	1.24261	0.00109315
569	1.31104	1.24273	0.00109782
570	1.29748	1.24282	0.00110009
571	1.23743	1.24281	0.0010982
572	1.22553	1.24278	0.0010967
573	1.26469	1.24282	0.00109545
574	1.24622	1.24283	0.00109356
575	1.20418	1.24276	0.00109372
576	1.21913	1.24272	0.00109259
577	1.23557	1.24271	0.00109077
578	1.21523	1.24266	0.00108992
579	1.2305	1.24264	0.00108824
580	1.26913	1.24268	0.00108732
581	1.24967	1.2427	0.00108551
582	1.22037	1.24266	0.00108433
583	1.21995	1.24262	0.00108317
584	1.20142	1.24255	0.00108361
585	1.21227	1.2425	0.00108299
586	1.21705	1.24245	0.00108201
587	1.26657	1.24249	0.00108095
588	1.27461	1.24255	0.00108049
589	1.22898	1.24252	0.0010789
590	1.23353	1.24251	0.00107718
591	1.22863	1.24249	0.00107561
592	1.2187	1.24245	0.00107454
593	1.21709	1.2424	0.00107358
594	1.26069	1.24243	0.00107222
595	1.27546	1.24249	0.00107185
596	1.26715	1.24253	0.00107085
597	1.23736	1.24252	0.00106909
598	1.24773	1.24253	0.00106734
599	1.23222	1.24251	0.0010657
600	1.21658	1.24247	0.0010648
601	1.20221	1.2424	0.00106513
602	1.20355	1.24234	0.00106531
603	1.24117	1.24234	0.00106355
604	1.2667	1.24238	0.00106255
605	1.24349	1.24238	0.0010608
606	1.23637	1.24237	0.00105909
607	1.27228	1.24242	0.00105849
608	1.28251	1.24248	0.00105881
609	1.24157	1.24248	0.00105707
610	1.21624	1.24244	0.00105621
611	1.22721	1.24242	0.00105478
612	1.181	1.24231	0.00105782
613	1.19205	1.24223	0.00105926
614	1.22732	1.24221	0.00105782
615	1.22521	1.24218	0.00105646
616	1.2387	1.24218	0.00105476
617	1.21226	1.24213	0.00105416
618	1.23784	1.24212	0.00105248
619	1.25457	1.24214	0.00105097
620	1.26511	1.24218	0.00104993
621	1.24472	1.24218	0.00104825
622	1.21547	1.24214	0.00104744
623	1.22157	1.24211	0.00104628
624	1.22434	1.24208	0.00104499
625	1.22265	1.24205	0.00104378
626	1.23437	1.24203	0.00104218
627	1.25897	1.24206	0.00104087
628	1.26564	1.2421	0.00103989
629	1.23632	1.24209	0.00103828
630	1.24506	1.24209	0.00103664
631	1.24018	1.24209	0.001035
632	1.24663	1.2421	0.00103339
633	1.24169	1.2421	0.00103176
634	1.25582	1.24212	0.00103036
635	1.24932	1.24213	0.0010288
636	1.2573	1.24215	0.00102746
637	1.25923	1.24218	0.00102619
638	1.27647	1.24223	0.00102599
639	1.26939	1.24228	0.00102526
640	1.22677	1.24225	0.00102395
641	1.2327	1.24224	0.00102246
642	1.24628	1.24224	0.00102089
643	1.20654	1.24219	0.00102081
644	1.22676	1.24216	0.0010195
645	1.21722	1.24213	0.00101866
646	1.19689	1.24206	0.00101948
647	1.20537	1.242	0.00101948
648	1.20323	1.24194	0.00101966
649	1.206	1.24188	0.0010196
650	1.20195	1.24182	0.00101988
651	1.21389	1.24178	0.00101921
652	1.20314	1.24172	0.00101937
653	1.24444	1.24172	0.00101782
654	1.23722	1.24172	0.00101628
655	1.24703	1.24173	0.00101476
656	1.22254	1.2417	0.00101364
657	1.23553	1.24169	0.00101214
658	1.23283	1.24167	0.00101069
659	1.21812	1.24164	0.00100979
660	1.23276	1.24162	0.00100835
661	1.22124	1.24159	0.00100729
662	1.22466	1.24157	0.0010061
663	1.25673	1.24159	0.00100484
664	1.24722	1.2416	0.00100336
665	1.21821	1.24156	0.00100247
666	1.23201	1.24155	0.00100107
667	1.21421	1.24151	0.00100041
668	1.23094	1.24149	0.000999032
669	1.24925	1.2415	0.000997607
670	1.22022	1.24147	0.000996623
671	1.24419	1.24148	0.000995146
672	1.25859	1.2415	0.000993991
673	1.26999	1.24154	0.000993415
674	1.26731	1.24158	0.000992676
675	1.24066	1.24158	0.000991206
676	1.23153	1.24157	0.000989852
677	1.24643	1.24157	0.000988416
